,date,open,close,high,low,volume,code
297,2002-11-28,-114.038,-113.922,-113.899,-114.051,2492.03,600519
298,2002-12-02,-113.879,-113.979,-113.84,-113.993,5850.87,600519
299,2002-12-03,-113.993,-113.901,-113.895,-114.036,3103.85,600519
300,2002-12-04,-113.963,-113.889,-113.821,-113.963,4151.0,600519
301,2002-12-05,-113.903,-113.762,-113.707,-113.918,13020.18,600519
302,2002-12-06,-113.782,-113.78,-113.743,-113.817,3741.54,600519
303,2002-12-09,-113.782,-113.827,-113.762,-113.84,2902.58,600519
304,2002-12-10,-113.817,-113.887,-113.801,-113.899,2611.98,600519
305,2002-12-11,-113.909,-113.915,-113.889,-113.958,2546.8,600519
306,2002-12-12,-113.915,-113.866,-113.86,-113.952,3989.33,600519
307,2002-12-13,-114.016,-113.881,-113.834,-114.016,2223.1,600519
308,2002-12-16,-113.881,-113.799,-113.786,-113.905,7976.94,600519
309,2002-12-17,-113.799,-113.797,-113.762,-113.836,2926.15,600519
310,2002-12-18,-113.805,-113.829,-113.786,-113.836,2028.53,600519
311,2002-12-19,-113.829,-113.856,-113.823,-113.877,2310.04,600519
312,2002-12-20,-113.856,-113.815,-113.789,-113.856,1624.74,600519
313,2002-12-23,-113.766,-113.821,-113.762,-113.84,1984.55,600519
314,2002-12-24,-113.819,-113.829,-113.789,-113.883,848.16,600519
315,2002-12-25,-113.823,-113.885,-113.821,-113.887,1481.38,600519
316,2002-12-26,-113.889,-114.036,-113.879,-114.053,5145.61,600519
317,2002-12-27,-114.038,-114.008,-113.983,-114.073,3390.21,600519
318,2002-12-30,-114.012,-114.065,-114.012,-114.085,3002.2,600519
319,2002-12-31,-114.055,-114.083,-114.02,-114.085,1644.78,600519
320,2003-01-02,-114.075,-114.227,-114.075,-114.231,3565.3,600519
321,2003-01-03,-114.235,-114.235,-114.184,-114.27,1743.68,600519
322,2003-01-06,-114.255,-114.2,-114.192,-114.268,986.36,600519
323,2003-01-07,-114.202,-114.245,-114.18,-114.249,1450.5,600519
324,2003-01-08,-114.171,-114.114,-114.114,-114.235,1768.02,600519
325,2003-01-09,-114.12,-114.071,-114.04,-114.169,2602.57,600519
326,2003-01-10,-114.075,-114.092,-113.997,-114.118,2346.38,600519
327,2003-01-13,-114.133,-114.1,-114.075,-114.133,1403.8,600519
328,2003-01-14,-114.104,-113.901,-113.836,-114.137,9588.25,600519
329,2003-01-15,-113.881,-113.84,-113.746,-113.901,11451.68,600519
330,2003-01-16,-113.819,-113.76,-113.752,-113.848,7359.08,600519
331,2003-01-17,-113.746,-113.844,-113.746,-113.846,3795.18,600519
332,2003-01-20,-113.86,-113.872,-113.86,-113.926,2070.9,600519
333,2003-01-21,-113.87,-113.87,-113.782,-113.879,4787.44,600519
334,2003-01-22,-113.879,-113.911,-113.879,-113.918,1633.1,600519
335,2003-01-23,-113.918,-113.909,-113.879,-113.918,2167.49,600519
336,2003-01-24,-113.918,-113.899,-113.883,-113.918,2441.19,600519
337,2003-01-27,-113.917,-113.819,-113.801,-113.917,3955.68,600519
338,2003-01-28,-113.821,-113.813,-113.782,-113.844,3494.96,600519
339,2003-01-29,-113.813,-113.805,-113.782,-113.831,3302.19,600519
340,2003-02-10,-113.809,-113.86,-113.809,-113.879,1693.78,600519
341,2003-02-11,-113.903,-113.848,-113.844,-113.903,821.5,600519
342,2003-02-12,-113.84,-113.805,-113.791,-113.879,1477.3,600519
343,2003-02-13,-113.809,-113.85,-113.788,-113.85,2718.32,600519
344,2003-02-14,-113.86,-113.805,-113.784,-113.86,1904.75,600519
345,2003-02-17,-113.84,-113.87,-113.797,-113.875,1567.76,600519
346,2003-02-18,-113.875,-113.879,-113.86,-113.899,1048.19,600519
347,2003-02-19,-113.879,-113.864,-113.858,-113.889,1029.7,600519
348,2003-02-20,-113.858,-113.842,-113.821,-113.87,851.2,600519
